ID        USERNAME                 PASSWORD                 NAME                                    ADDRESS                                           Customer Type                 MAJOR STUDY                                       WORK DEPARTMENT                         
3759      robert                   bello123                 Sir Robert Sidney                       P, Jalan P, Bandar P, Malaysia                    MMU Staff                     -                                                 Faculty Of Engineering And Technology   
3991      yinqq                    09yinq                   Lim Jia Ying                            Q, Jalan Q, Bandar Q, Malaysia                    MMU Staff                     -                                                 Faculty Of Law                          
4236      jxuan                    10xuan@@                 Lim Jia Xuan                            16, Jalan 16, Bandar 16, Malaysia                 MMU Student                   Business & Accounting                             -                                       
4491      shini                    diana/                   Daneshini                               17, Jalan 17, Bandar 17, Malaysia                 MMU Student                   Law                                               -                                       
5101      joan                     joan&07                  Joan Lim                                18, Jalan 18, Bandar 18, Malaysia                 Normal Customer               -                                                 -                                       
5294      Roy                      royy$$                   Roy Wong Jiang Woo                      19, Jalan 19, Bandar 19, Malaysia                 Normal Customer               -                                                 -                                       
5999      Than                     yhao05                   Than Yi Hao                             20, Jalan 20, Bandar 20, Malaysia                 MMU Staff                     -                                                 Faculty Of Management                   
6251      amy                      amy%%                    Amy Lim                                 R, Jalan R, Bandar R, Malaysia                    MMU Student                   Cinematic Arts                                    -                                       
6509      aisyah                   syah77                   Nurul Aisyah                            S, Jalan S, Bandar S, Malaysia                    MMU Student                   Creative Multimedia                               -                                       
6754      khadijah                 kha``98                  Nurul Khadijah                          T, Jalan T, Bandar T, Malaysia                    MMU Staff                     -                                                 Faculty Of Business                     
1838      aiman                    aiman2345                Amirul Aiman                            U, Jalan U, Bandar U, Malaysia                    MMU Staff                     -                                                 Faculty Of Management                   
2328      suti                     sutisuti***              Yasodaa                                 V, Jalan V, Bandar, Malaysia                      Normal Customer               -                                                 -                                       
2498      muni                     muniiii                  Yamuna                                  W, Jalan W, Bandar W, Malaysia                    Normal Customer               -                                                 -                                       
2674      ranial                   tong31                   Tong Ching Nee                          21, Jalan 21, Bandar 21, Malaysia                 MMU Staff                     -                                                 Faculty Of Computing And Informatics    
3497      kong                     kong12#                  Jasymin Kong                            22, Jalan 22, Bandar 22, Malaysia                 MMU Student                   Strategic Communication                           -                                       
3690      anisah                   anisah\321               Nur Anisah                              X, Jalan X, Bandar X, Malaysia                    MMU Staff                     -                                                 Faculty Of Law                          
4023      sabrina                  hihi^^                   Nur Sabrina                             Y, Jalan Y, Bandar Y, Malaysia                    Normal Customer               -                                                 -                                       
4245      noor                     rena0110                 Nurul Azrena                            Z, Jalan Z, Bandar Z, Malaysia                    Normal Customer               -                                                 -                                       
4617      eiman                    eiman99                  Muhammad Eiman                          23, Jalan 23, Bandar 23, Malaysia                 MMU Student                   Information Technology & Computer Science         -                                       
9609      jessy                    jessy&24                 Jessy Chan                              24, Jalan 24, Bandar 24, Malaysia                 Normal Customer               -                                                 -                                       
1932      rasy                     rasy^012                 Ahmad Rasydan                           25, Jalan 25, Bandar 25, Malaysia                 MMU Student                   Information Technology & Computer Science         -                                       
2723      lxc                      123456                   lxc                                     qwweer                                            Normal Customer               -                                                 -                                       
